 , Iterative, , , ,Recursive, , , ,
n, Ave. Count, Std. Dev. Count, Ave. Time, Std. Dev Time, Ave. Count, Std. Dev. Count, Ave. Time, Std. Dev Time
5,8.7000000E00,2.9410882E00,1.0909800E-06,2.1688278E-07,1.1060000E01,2.0533874E00,1.4469000E-06,4.3645743E-07
10,2.7920000E01,7.2576580E00,3.0046800E-06,1.6668265E-06,3.1880000E01,5.9954650E00,3.0454200E-06,5.8685378E-07
20,1.1068000E02,1.7702474E01,1.2456000E-05,4.2124327E-06,1.1568000E02,1.6537763E01,1.0279840E-05,2.6290597E-06
30,2.3688000E02,3.1176684E01,2.2601580E-05,2.6748074E-05,2.4352000E02,2.9519648E01,6.5786260E-05,3.6829607E-05
40,4.2868000E02,3.8582089E01,4.6031200E-06,8.6393508E-07,4.3530000E02,3.7755662E01,1.5927060E-05,2.6289650E-05
50,6.6420000E02,5.6760550E01,7.9696000E-06,7.1547137E-07,6.7194000E02,5.5221159E01,5.4550200E-06,6.5299756E-07
100,2.5659800E03,1.6333101E02,3.0909420E-05,4.8529334E-06,2.5779200E03,1.6176091E02,1.8109220E-05,1.1869068E-06
500,6.2945360E04,1.7976585E03,4.4732368E-04,8.6103715E-05,6.2971020E04,1.7977665E03,2.5368750E-04,3.3297693E-05
1000,2.5000208E05,5.4608955E03,1.5067286E-03,4.9473070E-05,2.5004150E05,5.4602479E03,7.9195440E-04,2.0851749E-05
2000,9.9958854E05,1.5668748E04,5.9040348E-03,3.1093553E-04,9.9964624E05,1.5665184E04,3.0241044E-03,1.4596004E-04
3000,2.2510153E06,2.2752316E04,1.3026677E-02,2.3107847E-04,2.2510866E06,2.2744469E04,7.0524165E-03,1.7497488E-04
4000,4.0055091E06,4.7170859E04,2.3861600E-02,4.5462304E-04,4.0056005E06,4.7168457E04,1.3293591E-02,2.0672185E-04
5000,6.2561782E06,5.3805854E04,3.8889307E-02,3.3873389E-03,6.2562737E06,5.3797832E04,2.2408132E-02,2.9839956E-03
6000,8.9899986E06,8.4707989E04,5.6718982E-02,4.8031964E-04,8.9901087E06,8.4688457E04,3.2742267E-02,3.2253836E-04
7000,1.2214878E07,9.3092055E04,8.0572829E-02,1.3757002E-03,1.2214982E07,9.3087963E04,4.5979115E-02,7.4280027E-04
8000,1.5999573E07,1.3173135E05,1.0776357E-01,1.0988741E-03,1.5999683E07,1.3174694E05,6.1712576E-02,4.4930650E-04
9000,2.0245678E07,1.2171323E05,1.4028674E-01,1.3321443E-03,2.0245791E07,1.2170835E05,7.9847051E-02,6.1791456E-04
10000,2.5013202E07,1.8032425E05,1.7698641E-01,1.2409835E-03,2.5013334E07,1.8031867E05,1.0022781E-01,9.6989959E-04
15000,5.6268261E07,2.9764787E05,4.3650636E-01,7.5695043E-03,5.6268433E07,2.9766095E05,2.4072373E-01,4.3929965E-03
